network_element_id,region_id,date_id,hour,last_updated_ts,uptime_seconds,downtime_seconds,calls_attempted,calls_dropped,packets_sent,packets_lost,bandwidth_capacity_mb,bandwidth_used_mb,outage_minutes,repair_minutes,availability_percent,dropped_call_rate,latency_ms,latency_ms_p95,packet_loss_percent,bandwidth_utilization_percent,mttr_hours
6,6,2023-08-08,0,2023-08-08,86366,34,1130,12,207232,112,1000,852,0.5666666666666667,104,99.96,1.09,36.9,52.8,0.05,85.22,1.73
7,7,2023-08-08,0,2023-08-08,86319,81,450,4,244856,214,1000,858,1.35,157,99.91,1.11,41.7,61.5,0.09,85.82,2.63
8,8,2023-08-08,0,2023-08-08,86245,155,602,5,159945,172,1000,643,2.5833333333333335,145,99.82,0.84,42.9,49.2,0.11,64.38,2.43
9,9,2023-08-08,0,2023-08-08,86298,102,818,9,215918,159,1000,721,1.7,123,99.88,1.11,44.6,49.9,0.07,72.14,2.06
10,10,2023-08-08,0,2023-08-08,86161,239,985,12,230724,223,1000,754,3.9833333333333334,98,99.72,1.28,33.5,48.9,0.1,75.41,1.64
1,1,2023-08-09,0,2023-08-09,86232,168,765,8,95254,81,1000,730,2.8,137,99.81,1.1,38.9,54.0,0.09,73.1,2.28
2,2,2023-08-09,0,2023-08-09,86256,144,932,12,131788,30,1000,588,2.4,139,99.83,1.3,40.1,56.6,0.02,58.85,2.32
3,3,2023-08-09,0,2023-08-09,86245,155,405,3,232882,183,1000,787,2.5833333333333335,127,99.82,0.96,51.2,59.1,0.08,78.78,2.13
4,4,2023-08-09,0,2023-08-09,86237,163,514,5,241205,180,1000,744,2.716666666666667,64,99.81,1.16,47.1,58.9,0.07,74.46,1.08
5,5,2023-08-09,0,2023-08-09,86281,119,670,5,106644,83,1000,604,1.9833333333333334,147,99.86,0.77,47.7,52.8,0.08,60.48,2.46
6,6,2023-08-09,0,2023-08-09,86214,186,1074,12,242633,159,1000,659,3.1,139,99.79,1.18,36.3,50.4,0.07,65.99,2.32
7,7,2023-08-09,0,2023-08-09,86400,0,765,6,212390,236,1000,679,0.0,102,100.0,0.85,46.6,56.3,0.11,67.97,1.7
8,8,2023-08-09,0,2023-08-09,86296,104,769,8,163296,145,1000,517,1.7333333333333334,160,99.88,1.14,38.6,45.0,0.09,51.77,2.67
9,9,2023-08-09,0,2023-08-09,86131,269,881,9,137054,142,1000,634,4.483333333333333,156,99.69,1.08,57.2,63.9,0.1,63.48,2.62
10,10,2023-08-09,0,2023-08-09,86329,71,587,6,80343,69,1000,666,1.1833333333333333,95,99.92,1.15,50.3,68.6,0.09,66.61,1.6
1,1,2023-08-10,0,2023-08-10,86247,153,679,8,223344,118,1000,843,2.55,105,99.82,1.23,44.3,52.0,0.05,84.36,1.77
2,2,2023-08-10,0,2023-08-10,86212,188,448,4,88665,59,1000,596,3.1333333333333333,92,99.78,1.05,40.5,51.2,0.07,59.67,1.53
3,3,2023-08-10,0,2023-08-10,86259,141,542,6,159676,137,1000,674,2.35,146,99.84,1.14,44.3,54.8,0.09,67.45,2.43
4,4,2023-08-10,0,2023-08-10,86191,209,887,6,248430,152,1000,738,3.4833333333333334,109,99.76,0.72,40.5,50.6,0.06,73.85,1.82
5,5,2023-08-10,0,2023-08-10,86186,214,414,4,82340,73,1000,481,3.566666666666667,115,99.75,1.02,43.2,51.1,0.09,48.16,1.93
6,6,2023-08-10,0,2023-08-10,86090,310,1193,7,205060,113,1000,740,5.166666666666667,160,99.64,0.65,46.5,58.8,0.06,74.09,2.67
7,7,2023-08-10,0,2023-08-10,86224,176,643,6,238597,196,1000,559,2.933333333333333,124,99.8,1.01,44.2,53.5,0.08,55.99,2.08
8,8,2023-08-10,0,2023-08-10,86199,201,400,4,232542,235,1000,675,3.35,119,99.77,1.13,42.3,49.4,0.1,67.56,1.99
9,9,2023-08-10,0,2023-08-10,86222,178,666,6,232055,189,1000,767,2.966666666666667,97,99.79,0.97,40.0,51.2,0.08,76.7,1.62
10,10,2023-08-10,0,2023-08-10,86236,164,607,4,181061,164,1000,980,2.7333333333333334,126,99.81,0.81,43.3,57.7,0.09,98.0,2.1
1,1,2023-08-11,0,2023-08-11,86200,200,565,5,161041,134,1000,778,3.3333333333333335,114,99.77,0.93,43.2,49.2,0.08,77.8,1.9
2,2,2023-08-11,0,2023-08-11,86285,115,890,9,210844,138,1000,694,1.9166666666666667,105,99.87,1.05,44.1,59.1,0.07,69.41,1.76
3,3,2023-08-11,0,2023-08-11,86198,202,897,6,166261,207,1000,698,3.3666666666666667,111,99.77,0.69,55.1,67.8,0.13,69.86,1.87
4,4,2023-08-11,0,2023-08-11,86077,323,1135,6,110041,68,1000,541,5.383333333333334,115,99.63,0.61,53.5,64.7,0.06,54.12,1.92
5,5,2023-08-11,0,2023-08-11,86286,114,943,11,204067,153,1000,644,1.9,91,99.87,1.23,46.7,52.6,0.08,64.46,1.53
6,6,2023-08-11,0,2023-08-11,86332,68,463,4,160990,122,1000,710,1.1333333333333333,99,99.92,0.97,48.6,67.0,0.08,71.04,1.66
7,7,2023-08-11,0,2023-08-11,86380,20,516,5,197295,114,1000,763,0.3333333333333333,165,99.98,1.01,40.8,55.0,0.06,76.31,2.76
8,8,2023-08-11,0,2023-08-11,86147,253,766,8,94068,67,1000,551,4.216666666666667,109,99.71,1.08,45.5,53.6,0.07,55.11,1.83
9,9,2023-08-11,0,2023-08-11,86382,18,662,7,135643,137,1000,708,0.3,134,99.98,1.09,44.3,54.5,0.1,70.89,2.25
10,10,2023-08-11,0,2023-08-11,86370,30,463,5,136257,90,1000,729,0.5,89,99.97,1.16,44.7,56.3,0.07,72.97,1.49
1,1,2023-08-12,0,2023-08-12,86210,190,708,6,147568,125,1000,641,3.1666666666666665,96,99.78,0.91,43.6,57.7,0.08,64.15,1.61
2,2,2023-08-12,0,2023-08-12,86150,250,521,5,80373,32,1000,665,4.166666666666667,101,99.71,1.09,39.1,49.7,0.04,66.54,1.68
3,3,2023-08-12,0,2023-08-12,86100,300,501,4,126059,74,1000,676,5.0,106,99.65,1.0,50.7,64.3,0.06,67.65,1.77
4,4,2023-08-12,0,2023-08-12,86294,106,914,7,158408,160,1000,809,1.7666666666666666,110,99.88,0.79,43.7,55.3,0.1,80.94,1.84
5,5,2023-08-12,0,2023-08-12,86166,234,1039,9,214166,143,1000,866,3.9,97,99.73,0.9,49.8,56.9,0.07,86.63,1.63
6,6,2023-08-12,0,2023-08-12,86367,33,1185,14,147059,109,1000,790,0.55,157,99.96,1.24,37.8,53.8,0.07,79.06,2.62
7,7,2023-08-12,0,2023-08-12,86187,213,796,9,194016,206,1000,848,3.55,110,99.75,1.18,50.2,55.8,0.11,84.86,1.84
8,8,2023-08-12,0,2023-08-12,86107,293,940,14,180049,165,1000,684,4.883333333333334,114,99.66,1.49,43.1,52.4,0.09,68.45,1.91
9,9,2023-08-12,0,2023-08-12,86213,187,1072,10,115805,92,1000,750,3.1166666666666667,113,99.78,0.94,42.3,48.4,0.08,75.03,1.89
10,10,2023-08-12,0,2023-08-12,86168,232,715,7,150711,156,1000,589,3.8666666666666667,79,99.73,1.0,43.3,58.1,0.1,58.91,1.33
1,1,2023-08-13,0,2023-08-13,86217,183,1117,8,92547,66,1000,627,3.05,92,99.79,0.78,37.3,45.6,0.07,62.75,1.54
2,2,2023-08-13,0,2023-08-13,86376,24,1028,13,240538,202,1000,676,0.4,87,99.97,1.27,59.1,69.2,0.08,67.68,1.46
3,3,2023-08-13,0,2023-08-13,86282,118,502,4,177833,84,1000,680,1.9666666666666666,107,99.86,0.88,40.0,57.4,0.05,68.08,1.79
4,4,2023-08-13,0,2023-08-13,86314,86,705,7,84109,65,1000,773,1.4333333333333333,102,99.9,1.1,44.5,63.5,0.08,77.35,1.71
5,5,2023-08-13,0,2023-08-13,86173,227,442,3,212327,217,1000,770,3.783333333333333,118,99.74,0.72,48.5,60.6,0.1,77.07,1.97
6,6,2023-08-13,0,2023-08-13,86318,82,881,10,106343,89,1000,757,1.3666666666666667,82,99.91,1.16,47.8,66.5,0.08,75.71,1.37
7,7,2023-08-13,0,2023-08-13,86175,225,870,11,103564,120,1000,704,3.75,135,99.74,1.33,36.9,43.1,0.12,70.46,2.25
8,8,2023-08-13,0,2023-08-13,86222,178,963,6,168441,134,1000,886,2.966666666666667,101,99.79,0.71,48.8,61.6,0.08,88.67,1.69
9,9,2023-08-13,0,2023-08-13,86254,146,727,10,212312,135,1000,622,2.433333333333333,106,99.83,1.47,32.7,41.1,0.06,62.21,1.77
10,10,2023-08-13,0,2023-08-13,86241,159,902,16,100593,116,1000,592,2.65,100,99.82,1.78,41.0,49.1,0.12,59.28,1.67
1,1,2023-08-14,0,2023-08-14,86248,152,910,10,244768,164,1000,736,2.533333333333333,113,99.82,1.14,43.6,59.4,0.07,73.67,1.89
2,2,2023-08-14,0,2023-08-14,86226,174,997,6,102589,61,1000,757,2.9,138,99.8,0.63,50.0,57.4,0.06,75.77,2.31
3,3,2023-08-14,0,2023-08-14,86128,272,993,13,229139,193,1000,775,4.533333333333333,144,99.69,1.36,40.4,55.8,0.08,77.57,2.41
4,4,2023-08-14,0,2023-08-14,86282,118,907,12,223862,167,1000,852,1.9666666666666666,151,99.86,1.38,47.0,63.7,0.07,85.22,2.53
5,5,2023-08-14,0,2023-08-14,85999,401,1062,12,199395,153,1000,628,6.683333333333334,104,99.54,1.21,47.2,61.3,0.08,62.82,1.74
6,6,2023-08-14,0,2023-08-14,86186,214,509,4,140553,111,1000,890,3.566666666666667,105,99.75,0.96,54.9,69.5,0.08,89.0,1.76
7,7,2023-08-14,0,2023-08-14,86224,176,729,8,150217,175,1000,664,2.933333333333333,138,99.8,1.16,40.5,55.0,0.12,66.43,2.3
8,8,2023-08-14,0,2023-08-14,86189,211,607,8,167676,87,1000,816,3.5166666666666666,76,99.76,1.32,40.7,58.0,0.05,81.64,1.28
9,9,2023-08-14,0,2023-08-14,86230,170,586,5,122907,71,1000,537,2.8333333333333335,126,99.8,0.95,42.7,53.3,0.06,53.76,2.1
10,10,2023-08-14,0,2023-08-14,86250,150,866,9,246539,180,1000,464,2.5,118,99.83,1.1,42.9,58.1,0.07,46.48,1.98
1,1,2023-08-15,0,2023-08-15,86327,73,455,4,231034,219,1000,614,1.2166666666666666,103,99.92,0.97,46.2,62.4,0.1,61.43,1.72
2,2,2023-08-15,0,2023-08-15,86337,63,788,3,227082,113,1000,675,1.05,146,99.93,0.5,43.8,57.3,0.05,67.56,2.45
3,3,2023-08-15,0,2023-08-15,86123,277,805,9,103675,89,1000,688,4.616666666666666,66,99.68,1.19,42.9,59.9,0.09,68.88,1.1
4,4,2023-08-15,0,2023-08-15,86265,135,1177,9,229211,177,1000,575,2.25,166,99.84,0.82,46.0,59.6,0.08,57.53,2.78
5,5,2023-08-15,0,2023-08-15,86286,114,1076,11,86247,48,1000,769,1.9,152,99.87,1.11,46.6,57.9,0.06,76.92,2.54
6,6,2023-08-15,0,2023-08-15,86141,259,643,6,111514,68,1000,626,4.316666666666666,128,99.7,0.94,47.1,58.5,0.06,62.67,2.15
7,7,2023-08-15,0,2023-08-15,86171,229,434,2,202264,209,1000,765,3.816666666666667,85,99.74,0.62,52.6,71.6,0.1,76.57,1.43
8,8,2023-08-15,0,2023-08-15,86061,339,684,9,166662,158,1000,726,5.65,119,99.61,1.34,37.6,56.0,0.09,72.62,1.99
9,9,2023-08-15,0,2023-08-15,86299,101,1011,9,222092,221,1000,663,1.6833333333333333,106,99.88,0.97,47.7,66.7,0.1,66.38,1.77
10,10,2023-08-15,0,2023-08-15,86217,183,1088,7,119153,104,1000,718,3.05,117,99.79,0.66,42.6,53.3,0.09,71.84,1.96
1,1,2023-08-16,0,2023-08-16,86331,69,949,8,228108,233,1000,865,1.15,130,99.92,0.9,42.8,59.6,0.1,86.59,2.17
2,2,2023-08-16,0,2023-08-16,86178,222,588,6,193398,128,1000,618,3.7,142,99.74,1.08,51.5,67.1,0.07,61.83,2.37
3,3,2023-08-16,0,2023-08-16,86232,168,1114,12,95439,78,1000,670,2.8,116,99.81,1.16,46.9,65.5,0.08,67.03,1.95
4,4,2023-08-16,0,2023-08-16,86142,258,683,7,151229,110,1000,672,4.3,94,99.7,1.04,40.9,58.9,0.07,67.25,1.58
5,5,2023-08-16,0,2023-08-16,86148,252,683,7,128419,136,1000,777,4.2,61,99.71,1.12,43.0,58.0,0.11,77.76,1.02
6,6,2023-08-16,0,2023-08-16,86340,60,475,4,224147,214,1000,910,1.0,171,99.93,0.89,42.9,51.8,0.1,91.05,2.85
7,7,2023-08-16,0,2023-08-16,86232,168,481,2,237495,194,1000,763,2.8,115,99.81,0.6,48.1,54.8,0.08,76.39,1.93
8,8,2023-08-16,0,2023-08-16,86248,152,964,7,248393,93,1000,574,2.533333333333333,134,99.82,0.8,44.9,56.5,0.04,57.5,2.24
9,9,2023-08-16,0,2023-08-16,86265,135,901,11,248895,179,1000,690,2.25,113,99.84,1.24,50.0,65.8,0.07,69.07,1.88
10,10,2023-08-16,0,2023-08-16,86310,90,1097,10,219472,160,1000,621,1.5,115,99.9,0.93,40.3,57.5,0.07,62.11,1.92
1,1,2023-08-17,0,2023-08-17,86117,283,992,10,136395,112,1000,782,4.716666666666667,104,99.67,1.09,49.1,61.1,0.08,78.24,1.74
2,2,2023-08-17,0,2023-08-17,86356,44,893,7,234269,225,1000,763,0.7333333333333333,84,99.95,0.79,42.7,52.6,0.1,76.39,1.41
3,3,2023-08-17,0,2023-08-17,86129,271,1009,12,217822,143,1000,638,4.516666666666667,99,99.69,1.27,42.5,57.5,0.07,63.82,1.66
4,4,2023-08-17,0,2023-08-17,86291,109,422,2,138037,124,1000,513,1.8166666666666667,122,99.87,0.71,43.3,60.3,0.09,51.33,2.04
5,5,2023-08-17,0,2023-08-17,86160,240,685,7,124574,136,1000,758,4.0,103,99.72,1.03,48.2,58.3,0.11,75.89,1.72
6,6,2023-08-17,0,2023-08-17,86257,143,986,14,156122,110,1000,469,2.3833333333333333,124,99.83,1.45,42.1,60.8,0.07,46.95,2.07
7,7,2023-08-17,0,2023-08-17,86063,337,729,5,107609,123,1000,596,5.616666666666666,127,99.61,0.82,40.5,56.8,0.12,59.65,2.13
8,8,2023-08-17,0,2023-08-17,86268,132,950,6,179135,182,1000,672,2.2,112,99.85,0.71,44.9,53.6,0.1,67.23,1.88
9,9,2023-08-17,0,2023-08-17,86134,266,977,9,101618,78,1000,580,4.433333333333334,114,99.69,1.02,53.1,68.0,0.08,58.05,1.91
10,10,2023-08-17,0,2023-08-17,86245,155,673,2,222133,210,1000,732,2.5833333333333335,140,99.82,0.32,48.4,56.7,0.09,73.29,2.34
1,1,2023-08-18,0,2023-08-18,86400,0,733,6,124286,107,1000,484,0.0,110,100.0,0.9,45.1,63.8,0.09,48.45,1.85
2,2,2023-08-18,0,2023-08-18,86206,194,553,4,87067,86,1000,696,3.2333333333333334,151,99.78,0.73,46.1,62.5,0.1,69.66,2.52
3,3,2023-08-18,0,2023-08-18,86115,285,647,6,242969,156,1000,543,4.75,105,99.67,0.95,33.8,53.4,0.06,54.38,1.77
4,4,2023-08-18,0,2023-08-18,86212,188,1137,8,101245,78,1000,641,3.1333333333333333,133,99.78,0.75,48.2,66.0,0.08,64.2,2.22
5,5,2023-08-18,0,2023-08-18,86184,216,935,11,81518,64,1000,738,3.6,139,99.75,1.21,41.2,57.6,0.08,73.85,2.32
6,6,2023-08-18,0,2023-08-18,86283,117,445,5,206350,227,1000,575,1.95,121,99.86,1.27,46.2,58.0,0.11,57.53,2.03
7,7,2023-08-18,0,2023-08-18,86160,240,890,13,101927,86,1000,710,4.0,126,99.72,1.52,51.3,67.5,0.08,71.07,2.11
8,8,2023-08-18,0,2023-08-18,86245,155,1075,13,236105,112,1000,764,2.5833333333333335,104,99.82,1.29,45.2,54.6,0.05,76.49,1.73
9,9,2023-08-18,0,2023-08-18,86255,145,460,5,206952,134,1000,634,2.4166666666666665,139,99.83,1.27,47.6,59.9,0.06,63.41,2.32
